Title,Name,Focus,Eligibility,Review_time,Cost,Acceptance_rate,Website
Psychology,Journal of Applied Psychology,Applied psychology,Open to all,4-6 months,Free,Moderate,https://www.apa.org/pubs/journals/apl
Psychology,Clinical Psychology Review,Clinical psychology,Open to all,3-6 months,"$2,500 (waivers available)",Moderate,https://www.journals.elsevier.com/clinical-psychology-review
Computer Science,IEEE Transactions on Pattern Analysis and Machine Intelligence,"Computer science, machine learning",Open to all,4-6 months,"$2,095 (waivers available)",Low,https://www.computer.org/tpami
Computer Science,Journal of Machine Learning Research,Machine learning,Open to all,3-6 months,Free,Moderate,http://www.jmlr.org/
Humanities,Modern Language Review,Literature and linguistics,Open to all,4-6 months,Free,Moderate,https://www.modernlanguagesopen.org/
Humanities,Journal of the History of Ideas,Intellectual history,Open to all,3-6 months,Free,Moderate,https://muse.jhu.edu/journal/97
Public Health,International Journal of Public Health,Public health research,Open to all,4-6 months,"$2,500 (waivers available)",Moderate,https://link.springer.com/journal/38
Public Health,BMC Public Health,Public health,Open to all,3-6 months,"$2,400 (waivers available)",Moderate,https://bmcpublichealth.biomedcentral.com/
Physics,Physical Review Letters,Physics,Open to all,3-6 months,"$2,695 (waivers available)",Low,https://journals.aps.org/prl/
Physics,Journal of High Energy Physics,High energy physics,Open to all,4-6 months,"$2,300 (waivers available)",Moderate,https://www.springer.com/journal/13130
Sociology,American Journal of Sociology,Sociology,Open to all,4-6 months,Free,Low,https://www.journals.uchicago.edu/toc/ajs/current
Sociology,Social Forces,"Sociology, social science",Open to all,3-5 months,Free,Moderate,https://academic.oup.com/sf
Chemistry,Journal of the American Chemical Society (JACS),Chemistry,Open to all,3-6 months,"$2,000 (waivers available)",Low,https://pubs.acs.org/journal/jacsat
Chemistry,Angewandte Chemie,Chemistry,Open to all,3-6 months,"$3,000 (waivers available)",Low,https://onlinelibrary.wiley.com/journal/15213773
Engineering,Journal of Engineering,General engineering,Open to all,3-5 months,"$1,500 (waivers available)",Moderate,https://www.hindawi.com/journals/je/
Engineering,IEEE Transactions on Industrial Electronics,Industrial electronics,Open to all,4-6 months,"$2,095 (waivers available)",Moderate,https://www.ieee-ies.org/pubs/transactions-on-industrial-electronics
Neuroscience,Neuron,Neuroscience,Open to all,3-6 months,"$2,900 (waivers available)",Low,https://www.cell.com/neuron/home
Neuroscience,Journal of Neuroscience,Neuroscience,Open to all,3-5 months,"$2,000 (waivers available)",Moderate,https://www.jneurosci.org/
Mathematics,Journal of the American Mathematical Society,Mathematics,Open to all,4-6 months,Free,Low,https://www.ams.org/publications/journals/journalsframework/jams
Mathematics,Annals of Mathematics,Mathematics,Open to all,4-6 months,Free,Low,https://annals.math.princeton.edu/
Environmental Studies,Environmental Research Letters,Environmental science,Open to all,3-6 months,"$2,300 (waivers available)",Moderate,https://iopscience.iop.org/journal/1748-9326
Environmental Studies,Journal of Environmental Economics and Management,Environmental economics,Open to all,4-6 months,"$2,500 (waivers available)",Moderate,https://www.journals.elsevier.com/journal-of-environmental-economics-and-management
Education,American Educational Research Journal,Education research,Open to all,4-6 months,Free,Low,https://journals.sagepub.com/home/aer
Education,Journal of Educational Psychology,Educational psychology,Open to all,3-6 months,Free,Moderate,https://www.apa.org/pubs/journals/edu
Political Science,American Journal of Political Science,Political science,Open to all,4-6 months,Free,Low,https://ajps.org/
Political Science,Journal of Politics,Political science,Open to all,3-5 months,Free,Moderate,https://www.journals.uchicago.edu/toc/jop/current
Anthropology,American Anthropologist,Anthropology,Open to all,3-6 months,Free,Moderate,https://www.americananthro.org/StayInformed/Content.aspx?ItemNumber=1629&navItemNumber=697
Anthropology,Current Anthropology,Anthropology,Open to all,3-6 months,Free,Moderate,https://www.journals.uchicago.edu/toc/ca/current
Philosophy,Philosophical Review,Philosophy,Open to all,4-6 months,Free,Low,https://www.dukeupress.edu/philosophical-review/
Philosophy,Journal of Philosophy,Philosophy,Open to all,3-6 months,Free,Moderate,https://www.journalofphilosophy.org/
Economics,Review of Economic Studies,Economics,Open to all,3-6 months,Free,Low,https://academic.oup.com/restud
Economics,Journal of Economic Perspectives,Economics,Open to all,3-6 months,Free,Moderate,https://www.aeaweb.org/journals/jep
Linguistics,Language,Linguistics,Open to all,3-6 months,Free,Moderate,https://www.linguisticsociety.org/lsa-publications/language
Linguistics,Journal of Linguistics,Linguistics,Open to all,3-6 months,Free,Moderate,https://www.cambridge.org/core/journals/journal-of-linguistics
Public Health,American Journal of Public Health,Public health,Open to all,3-6 months,Free,Moderate,https://ajph.aphapublications.org/
Public Health,Journal of Public Health,Public health,Open to all,3-6 months,Free,Moderate,https://academic.oup.com/jpubhealth
Computer Science,Journal of the ACM,Computer science,Open to all,4-6 months,Free,Low,https://dl.acm.org/journal/jacm
Computer Science,IEEE Transactions on Pattern Analysis and Machine Intelligence,"Computer science, machine learning",Open to all,4-6 months,"$1,850 (waivers available)",Low,https://www.computer.org/csdl/journal/tp
Art History,Art Bulletin,Art history,Open to all,3-6 months,Free,Moderate,https://www.collegeart.org/artbulletin
Art History,Art History,Art history,Open to all,3-6 months,Free,Moderate,https://onlinelibrary.wiley.com/journal/14678365
Media Studies,Journal of Communication,"Media studies, communication",Open to all,3-6 months,Free,Moderate,https://academic.oup.com/joc
Media Studies,Communication Theory,"Media studies, communication theory",Open to all,3-6 months,Free,Moderate,https://academic.oup.com/ct
Environmental Science,Global Environmental Change,Environmental science,Open to all,3-6 months,"$2,500 (waivers available)",Moderate,https://www.journals.elsevier.com/global-environmental-change
Environmental Science,Environmental Science & Technology,Environmental science and technology,Open to all,3-6 months,"$3,000 (waivers available)",Moderate,https://pubs.acs.org/journal/esthag
History,Journal of Modern History,Modern history,Open to all,4-6 months,Free,Moderate,https://www.journals.uchicago.edu/toc/jmh/current
History,American Historical Review,History,Open to all,4-6 months,Free,Low,https://academic.oup.com/ahr
Social Psychology,Journal of Personality and Social Psychology,Social psychology,Open to all,3-6 months,Free,Moderate,https://www.apa.org/pubs/journals/psp
Social Psychology,Social Psychology Quarterly,Social psychology,Open to all,3-6 months,Free,Moderate,https://journals.sagepub.com/home/spq
Management,Academy of Management Journal,"Management, organizational behavior",Open to all,4-6 months,Free,Low,https://journals.aom.org/journal/amj
Management,Journal of Management Studies,Management,Open to all,4-6 months,Free,Moderate,https://onlinelibrary.wiley.com/journal/14676486
